Comment_Text,Label,Notes
There is a solid chance he catches Messi this year depending on how things go. One bad game and the other maintaining pace could blow it open,Substantive / Analytical,"The gap between the two players' World Cup goal totals is small enough that the record could change hands during the current 2026 tournament, heavily dictated by single-match variance (one player having a bad game while the other maintains their scoring pace)."
"Klose’s record stood for ages, and now a new generation is breathing right down Messi’s neck for the all-time World Cup scoring crown.",Substantive / Analytical,Employs historical context (the longevity of Klose's record) to frame the historical significance of the current era's scoring pace.
"Wild to think two legends are separated by only two goals now, Mbappé’s World Cup scoring pace is absolutely ridiculous.",Low-Effort / Noise,"Simple hype and emotional awe. While it mentions a data point (""two goals""), it uses it to express amazement rather than to build an actual argument."
"If he doesn’t beat that this World Cup, he surely will next. Messi will only hold that record for 4 years if he maintains it here at 2026",Substantive / Analytical,Calculates the finite lifespan of the record based directly on the quadrennial tournament cycle.
Now can one of them beat Just Fontaine record of 13 goals in a single World Cup,Substantive / Analytical,Shifts the baseline of discussion entirely by introducing an explicit historical benchmark regarding single-tournament peak thresholds.
There is no doubt that Mbappé will be the first in the future.,Low-Effort / Noise,"A flat, repetitive prediction that adds zero unique perspective, evidence, or data to the thread."
We are reaching knockout stages and Christiano Ronaldo is nowhere in the conversations of goals.,Partisan / Emotional,Standard fan-war behavior. Weaponizes a completely unrelated player's lack of presence in the current tournament to score community points.
If being old is an excuse he should have retired after 2018 World Cup.,Partisan / Emotional,"A dismissive and aggressive personal take targeting a player's career timeline, stripped of structural or tactical context."
"Mbappe will overtake Messi, could even happen this tournament",Low-Effort / Noise,A brief echo of the general thread sentiment that fails to advance any new line of reasoning.
"Mbappe at 16 world cup goals and he's still got years left in him, klose's record gone just like that. messi's 18 feels like the last real barrier now and at 
this rate it's not even a question of if, just when. could genuinely end this tournament as the greatest world cup scorer of all time and he's not even 30
 years",Substantive / Analytical,"Synthesizes current raw data (16 goals), target benchmarks (18 goals), and age factors to form a comprehensive timeline projection."
Mbappe is insane in the world cups. The man is made for world stage.,Low-Effort / Noise,Generic sports clichés and praise that do not add any analytical value to the discussion.
"Mbappe scored 16 goals in 16 WC games. Klose scored the same amount in 24 games. One-sided games? Klose scored 3  against Saudi Arabia 
(total 8-0), 2 against Ecuador and Costa-Rica, goals against Ghana, Ireland, Kameroon. All these teams are not eguals to Germany. To be clear I 
respect Klose very much, but your point about extending WC is not valid in this case.",Substantive / Analytical,High-level analysis. Uses a breakdown of historical opponent data and mathematical efficiency (16/16 vs 16/24) to directly falsify another user's claim.
Eventually Mbappe will own the record,Low-Effort / Noise,"A one-sentence, repetitive conclusion offering zero structural backing."
He is the top scorer at Real Madrid. And at La Liga. Not sure where this theory is coming from.,Partisan / Emotional,"A highly defensive, factually distorted claim used aggressively to shut down an opposing argument."
"It's not a record, anymore",Low-Effort / Noise,"A cryptic, single-sentence reaction that fails to establish an actual opinion."
"And like what, 20 years younger than Messi? 😂",Low-Effort / Noise,Text-based noise using hyperbole and an emoji for a quick joke rather than analytical contribution.
"Mark my words, Haaland will beat Mbappes record one day.",Partisan / Emotional,"An ungrounded, highly speculative hot take introducing a completely detached entity (a player whose nation historically struggles to make/compete in the tournament depth) purely to stir the pot."
Agreed. Haaland is a fucking monster,Partisan / Emotional,"A hyperbolic, emotionally driven claim used to hype a player, lacking objective analysis."
I m french - but i reaaally dislike this Guy !!!,Partisan / Emotional,"Purely emotional, subjective statement of dislike with no analytical backing."
Norway isn't a powerhouse like France and may not make deep runs,Substantive / Analytical,Introduces a structural team-level variable (national team strength and tournament depth) to evaluate a player's statistical ceiling.
"Mark my words, Haaland will beat Mbappes record one day.",Partisan / Emotional,"An ungrounded, highly speculative hot take introducing a completely detached entity purely to stir the pot."
Bro it's group stage lol,Low-Effort / Noise,"A brief, dismissive phrase that fails to advance any new line of reasoning."
Mbappe is the best international player,Low-Effort / Noise,"A flat, subjective declaration lacking any supporting evidence or data."
🏃🏾‍♂️ Mbappe 🏃🏽‍♂️ Messi 🏃🏼‍♂️Haaland 🧍‍♂️Ronaldo,Low-Effort / Noise,Purely emoji-based visual ranking offering zero textual analysis or argument.
World cup goat sure,Low-Effort / Noise,A brief echo of general sentiment that fails to establish an actual opinion or structural backing.
"Mbappe will inevitably take this record in time, but closing up on Messi is technically incorrect when Messi has one more goal than him at this
tournament. Messi has technically extended his gap over Mbappe, not the opposite.",Substantive / Analytical,Corrects the literal chronological sequence of live events to validate the accuracy of a specific tournament narrative.
I feel like these guys are just farming some low level teams,Substantive / Analytical,Points to opponent quality and strength of schedule as a variable in goal accumulation.
Only Messi is allowed to score goals for Argentina.,Partisan / Emotional,"A hyperbolic, emotionally driven claim regarding team dynamics without factual basis."
Messi is like Jesus of soccer. ⚽️,Partisan / Emotional,"Extreme hyperbole and religious comparison used for ultimate player praise, lacking any objective analysis."
"Messi keeps adding chapters to a career that already felt complete years ago. He isn't the same explosive player from his younger 
days, but his football brain is still unmatched. His control of space, timing, and decision making can still decide games at this level.",Substantive / Analytical,"Analyzes the evolution of a player's physical and tactical traits over time, focusing on spatial awareness and decision-making."
"Messi's brace continues to break records at a World Cup, making him timeless. Proving age is just a number.",Low-Effort / Noise,Relies on generic sports clichés rather than deep analysis.
The Austrian team looked lost once Alaba was subbed out. It makes you appreciate the vision of key players.,Substantive / Analytical,Identifies a specific tactical event (a substitution) and its structural impact on team performance.
Loved seeing Messi turn the ball over and the announcers say “great touch”,Partisan / Emotional,"A sarcastic critique of media bias and commentary, driven by emotional frustration rather than objective game analysis."
How come sometimes the foul is reviewed by the on-field referee using VAR monitor. But sometimes is reviewed only by remote referee?,Substantive / Analytical,Asks a legitimate structural question about the implementation of VAR rules.
Looks like it's going to be a shootout between Messi and Mbappe,Low-Effort / Noise,A generic prediction echoing the main narrative without deeper analysis.
"First goal was a clear foul, and Martinez should have been sent off with two yellow cards in the first half, instead he got none. Other than that, a 
deserved victory. Austria just too harmless.",Substantive / Analytical,Offers specific tactical and refereeing critique regarding match events.
"I really enjoy watching Norway play. Great teamwork, like watching a group of old friends playing and happy for one another.",Partisan / Emotional,Expresses subjective emotional enjoyment of a team's aesthetic without analytical depth.
"I have a feeling any day now someone is going to do a segment on some talk show where he and Tim Howard play foosball against each other. 
Can you bet that on Kalshi? I never used it.",Low-Effort / Noise,"Tangential, non-analytical comment about talk shows and betting platforms."
"Super frustrating from an Ecuador POV. Their attack was Turkiye-esque. Most of these shots were right at the GK and easy to stop. 
Room's performance sounds more impressive in the after match press than it looked live. He did well, no doubt, but the bigger 
story is Ecuador continues to be toothless up front. Which is too bad, bc it’s otherwise a strong team.",Substantive / Analytical,Detailed tactical critique of a team's attacking inefficiency and goalkeeper performance.
"Germany has to win against Ecuador and Curacao against Ivory Coast, then they advance for sure. There are some third placed teams that will advance
 but I dont know the rule.",Substantive / Analytical,Outlines structural tournament advancement scenarios based on match outcomes.
15 saves and no goals. Incredible work,Substantive / Analytical,Uses a specific statistical metric (15 saves) to evaluate player performance.
There is a worst team at this World Cup. And it‘s not Curacao. That alone is a huge achievement already.,Low-Effort / Noise,"A broad, somewhat sarcastic statement lacking specific analytical backing."
"My daughter was on the jumbotron during this match. It was after Algeria's second goal (Gouiri '82). Would anyone know how I could get a video of it? 
Or a picture? I would be forever grateful.",Low-Effort / Noise,"A personal, off-topic request entirely unrelated to football analysis."
"So based on these results, what's the scenarios for each team leading up to game 3 of pool play?",Substantive / Analytical,Asks a legitimate structural question about tournament advancement scenarios.
PERFECT! Got every single score of all 4 games perfect today to put me back in first of my predictions group. Thank you Algeria!,Low-Effort / Noise,"Personal anecdote about predictions, lacking analytical depth about the actual games."
"Algeria needed that badly. Going down to Jordan would've made the whole group feel cooked, but Benbouali and Gouiri bailed them out late.",Substantive / Analytical,Evaluates the structural impact of a match result on the group dynamics and identifies key players.
that benbouali header was class.,Low-Effort / Noise,Generic praise for a specific play without deeper tactical analysis.
Watched the Argentina game => Algeria lost. Didn't watch the Jordan game => Algeria won. Maybe I should skip the Austria game 🤔,Low-Effort / Noise,"Superstitious, non-analytical comment about personal viewing habits."
Rock Chalk Algeria!,Low-Effort / Noise,Purely emotional cheer/slogan offering no analysis.
Lets go Algeria 🇩🇿,Low-Effort / Noise,"Purely emotional cheer with an emoji, lacking analysis."
"One, two, three, viva l'Algérie!",Low-Effort / Noise,Traditional fan chant offering no analytical value.
Argentina guaranteed to top the group now.,Substantive / Analytical,States a factual tournament advancement outcome based on results.
I want Messi to rest. But f it. I think he should score quadruple so that mbappe will have buffer.,Partisan / Emotional,"Emotionally driven desire for a player to score heavily, disregarding tactical context like resting."
The worst part as a Jordanian is I was genuinely looking forward to us playing against a serious Messi but now 😭,Partisan / Emotional,Expresses personal disappointment and emotional reaction to tournament scenarios.
Jordan playing a low block after scoring only one goal pretty much doomed them to a loss.,Substantive / Analytical,Detailed tactical critique of a team's defensive strategy after taking the lead.
I fucking knew that I would regret going to bed at halftime. Peacock lost connection right as they blew the whistle and I took it as a sign to call it a night but I had a feeling the game would get better when I stopped watching.,Low-Effort / Noise,"Personal anecdote about viewing experience and technical issues, lacking game analysis."
"Jordan looked so dead the 2nd half, was inevitable.",Substantive / Analytical,Evaluates a team's physical or mental state and its impact on the match outcome.
33 shots vs 2 shots is ridiculous. Qatar doesn't belong in the World Cup. Italy gets left out but Qatar gets in??? Embarrassing.,Partisan / Emotional,Uses a statistical metric but primarily to express emotional outrage and subjective judgment about a team's belonging.
"Qatar, and 15 other teams, didn't genuinely qualify to this World Cup yet. The matches you are watching now can be considered either an extension of the qualifiers round or a pre-tournament friendlies.",Substantive / Analytical,Provides structural context regarding the qualification process and tournament format.
Money.,Low-Effort / Noise,A single-word cynical response lacking any structural backing or detailed argument.
they hosted 2022.,Low-Effort / Noise,A brief factual statement that fails to advance a detailed analytical argument.
Thats a win for all of us then.,Low-Effort / Noise,A brief echo of general sentiment lacking specific analysis.
Well normally they'd probably try and chop your hands off no?,Partisan / Emotional,"An ungrounded, highly speculative and offensive cultural stereotype used aggressively."
"Yeah, once Canada got to 4-0, if they held that margin, more goals did nothing for the standings. At 4-0, they passed Switzerland. If they won 1-0, they'd need to beat the Swiss for top of the group. Now they just need a draw.",Substantive / Analytical,Calculates specific conditional probabilities and tournament advancement scenarios based on goal differential.
Pretty sure goals for / differential is used to break a group tie?,Substantive / Analytical,Asks/states a legitimate structural question about tournament tie-breaking rules.
"Why do we allow countries in the world cup that are far below the skill level of some other countries that didn't qualify. How does Qatar even qualify? There are many stronger teams than Qatar that didn't qualify, what a waste of a spot.",Partisan / Emotional,Expresses subjective emotional frustration regarding tournament qualification rules without providing objective analysis.
"it was like a hockey game. 6 goals by one team, a hat trick, and a brawl.",Low-Effort / Noise,A brief comparison using hyperbole to describe match events without deeper tactical analysis.
Which team was the Toronto Maple Leafs?,Low-Effort / Noise,"A sarcastic, off-topic joke unrelated to football analysis."
How we do.,Low-Effort / Noise,"A brief, colloquial phrase offering no analytical value."
"I have no interest at all in soccer, but I've heard that games are low score, so this probably was an interesting game? Lol.",Low-Effort / Noise,"Tangential, non-analytical comment from someone admittedly disconnected from the sport."
"Canadians annihilated Qatari's, these statistics are not normal.",Substantive / Analytical,Uses statistical anomalies to evaluate the one-sided nature of a match.
This would be the rough equivalent of an NHL hockey game score being like 15 to 0.,Low-Effort / Noise,Uses a cross-sport comparison to express amazement rather than building an actual argument.
You gotta be really crap or really mess up to concede that many goals. Luckily for Canada Qatar had both.,Partisan / Emotional,"A dismissive and aggressive personal take targeting a team's performance, stripped of structural context."
Yeah definitely.,Low-Effort / Noise,A brief echo of general sentiment that fails to establish an actual opinion.
The one match I missed and all this drama.,Low-Effort / Noise,Personal anecdote about viewing experience lacking game analysis.
It was a pretty wild game. That leg break was so loud you could hear it on the mics from a hundred feet away.,Low-Effort / Noise,"Focuses on the visceral, emotional shock of an injury rather than tactical or structural analysis."
I mean good for Canada but Qatar it's probably the worst team on the cup lol.. they even manage to lose the first game in Qatar World Cup!! Which never happen before haha.,Partisan / Emotional,"A mocking, subjective statement using historical trivia to ridicule a team."
"qatar had 2 reds, one of which was because they broke Kone's leg. canada deserved this.",Substantive / Analytical,"Analyzes specific match events (red cards, injuries) to justify the match outcome."
Maybe if Qatar stopped getting themselves.,Low-Effort / Noise,"An incomplete, cryptic reaction that fails to establish an actual opinion."
"I think even if Canada loses at this point, they'll still be a group favorite for their resilience and love of the game. Even when they faced Bosnia, the match was great from both sides.",Partisan / Emotional,Expresses subjective emotional praise for a team's aesthetic and resilience without analytical depth.
Don't need to win the championship to feel like you've won. The 2022 world cup was Canada's first time qualifying in decades. They scored their first world cup goal. Lost every game and didnt make it out of the first round but no one felt like losers.,Substantive / Analytical,Employs historical context to frame the emotional and structural significance of a team's current performance.
"We know we're gonna get out asses kicked, we just didn't expect to get a crazy solid win. In the qualifiers a few years back we won because of cold weather. Footballs been picking up in North America, but compared to the rest of the world, we're nobodies.",Substantive / Analytical,"Introduces structural variables (weather in qualifiers, regional development) to evaluate a team's historical and current standing."
"Not even a week done, and we can already see new, inexperienced or mid-level teams giving good competition to big teams, giving their country a reason to come together and celebrate. It is great for the sport and I am sure everyone is loving it!",Substantive / Analytical,Observes the competitive balance of the tournament and its broader impact on the sport's global appeal.
"32 is the sweet spot, 48 is absurd and money driven only, nothing more to it.",Substantive / Analytical,Critiques the tournament format expansion by attributing it to financial motives rather than sporting merit.
"Designed to avoid the big nations bombing out. Hard to see how any of them don't make it. Sure, there'll be surprises but this just kicks the odds in their favour a bit more.",Substantive / Analytical,Analyzes the structural design of the tournament format and its statistical bias towards larger nations.
"32 was fine. I don't like this 48 format. So many games to only get to 32. And those extra teams might hold a favorite team to a draw, but they won't be able to actively compete. I want to see the best teams play great quality matches, not some minnow defend a draw with 11 men in the own goal area.",Substantive / Analytical,Provides a detailed critique of the tournament format's impact on match quality and tactical approaches.
Here here.,Low-Effort / Noise,A brief expression of agreement offering no analytical value.
I still think 48 is too many. Qualification from this stage is a mess. Extra games make it harder to stay on top of. Some teams clearly just aren't up to it. The extra week on the tournament length is annoying. The Panini sticker book is now more expensive to complete. It's not the most egregoous problem with this WC but it's another factor. 32 teams was fine.,Substantive / Analytical,Evaluates multiple structural and logistical impacts of the expanded tournament format.
"Too many bad teams in the tournament. If you're going to keep this expanded format then let more good teams in, like Italy.",Partisan / Emotional,A subjective complaint about team quality driven by personal preference for a specific nation.
"""Let then in""? Are you against qualifying? Would you rather invite the top 32/48 teams?",Substantive / Analytical,Challenges another user's logic by questioning the structural principles of tournament qualification.
Italy is such a great team that they chose not to attend the last three world cups die to the terrible human rights records of the host countries.,Partisan / Emotional,"A sarcastic, factually distorted claim used aggressively to defend a specific team."
Maybe they should qualify like every other team.,Substantive / Analytical,Reiterates the objective necessity of the qualification process.
"They've already made it 8 games to get the trophy instead of 7 -- that's the biggest change. I think if you're accepting teams playing 8 games, this would be an opportunity to go to 40 teams in 8 pools of 5 -- top 2 to into round of 16.",Substantive / Analytical,Proposes an alternative structural format with specific mathematical adjustments to group sizes and advancement rules.
"Even at 48 teams you could do 8 groups of 6 with the top two going through. It would mean 5 weeks of group play though, which might switch a few people off after they have no hope passed the first 2 or 3 games. Would give the lower tier nations some good exposure to the better teams though.",Substantive / Analytical,Explores the logistical and viewer-engagement trade-offs of a specific alternative tournament structure.
"48 is too many for me, the Qatar v Canada game was deplorable. Maybe 35 teams?",Substantive / Analytical,"Uses a specific match example to critique the tournament size, though the proposed alternative is structurally flawed."
A 35 team tournament...are you serious right now?,Low-Effort / Noise,"A brief, dismissive reaction that fails to advance the structural debate."
Qatar tied Switzerland in their first game. Just because it was a blowout doesn't mean they aren't competitive.,Substantive / Analytical,Uses specific historical match results to counter a narrative about a team's lack of competitiveness.
"I think the quality of games this WC has been really good. Fast paced football. Positive play. Minimal stoppages or time wasting - hydration adverts aside. The issue though is still that you can lose your first two, win the last and still stroll through to the next round.",Substantive / Analytical,Contrasts positive tactical observations with a critique of the tournament's forgiving advancement structure.
"The only good thing about the 48 team from a neutrals perspective is that we get 16 more knockout games. Which is great. But is that worth diluting the “danger” / meaningfulness of the first 18 days of the tournament? I don't think so. The old format was perfect, when qualifying for the tournament was an achievement, every group game seemed vital, and for many teams getting out the group was a brilliant achievement.",Substantive / Analytical,Weighs the structural trade-offs between increased knockout matches and diluted group-stage stakes.
The third group game often was meaningless before the expansion. I much prefer this format.,Substantive / Analytical,Counters a structural argument by pointing out historical flaws in the previous format.
So many teams there only as alsorans.,Low-Effort / Noise,"A brief, dismissive phrase lacking specific analytical backing."
"No, not everyone loves it. The imperative is that the number of teams qualifying from the groups divides into 2 all the way to the final. 48 teams necessitates the ridiculous situation where 2/3 third place teams qualify. That creates an unfairness going into the knockout stage, where you see 1st v 3rd, 2nd v 2nd, or 1st v 2nd. In a 32 team tournament the advantage came in finishing first in the group where you would play a second placed team. That is across the whole R16.",Substantive / Analytical,Provides a detailed mathematical and structural breakdown of how the format creates competitive imbalances in the knockout bracket.
"I think this must had been one of the best defensive works ever performed in a WC game no? only 1 foul (against 10 of Spain), and Spain even if they had like 26 shots on goal, in reality only 1-2 were 'that is 99% a goal' type scenarios, in the rest Spain was just really predictable and defenders/gk interventions were massive, not even Lamine doing some magic shots could save them.",Substantive / Analytical,"Uses specific statistical comparisons (fouls, shots) and tactical observations (predictability) to evaluate defensive performance."
"Great display from them,got so worried when yamal came on though.",Low-Effort / Noise,A brief emotional reaction and generic praise without deeper tactical analysis.
"Resilience hits hard man.. Indeed, they were hard as rock in defense",Low-Effort / Noise,Generic praise using clichés to describe defense.
"""NO SHOTS MADE AGAINST ME WILL PROSPER"" - the CV goalie.",Low-Effort / Noise,"A humorous, hyperbolic quote used to hype a player's performance."
Lol. That's the comment.,Low-Effort / Noise,"A brief, dismissive phrase offering no analytical value."
I don't think this was just Spain being bad. Cape Verde deserve a lot of credit here. Staying that disciplined for 90 minutes against Spain is much harder than it looks.,Substantive / Analytical,Evaluates the tactical discipline required to maintain a defensive block against a superior opponent.
Should have started LY.,Low-Effort / Noise,A brief tactical opinion lacking elaboration or structural backing.
"Grande jogo de Cabo Verde, contudo acho que o resultado se deve pela pouca inspiração dos espanhóis no dia de hoje. Espanha continua entre as favoritas, na minha opinião.",Substantive / Analytical,Provides a nuanced perspective evaluating the balance between one team's tactical execution and the other's lack of inspiration.
So many Gavi haters today. 99% are Saka or Arsenal fans 😂,Partisan / Emotional,Employs fan-war behavior to dismiss criticism by attributing it to rival fanbases.
If it were really just that as you say he would've changed his system by the half time. When you underestimate your opponent but see that he's actually better than what you thought you actually change your system when you get the chance. He didn't.,Substantive / Analytical,Provides a detailed tactical critique of managerial decision-making and the failure to make in-game system adjustments.
"Wow so many haters, we will see.",Partisan / Emotional,"A brief, defensive reaction to perceived criticism without addressing the actual arguments."
"Only day 5 of the World Cup, let's keep them rolling.",Low-Effort / Noise,A generic expression of excitement for the tournament offering no analysis.
Spain has always been a small team.,Partisan / Emotional,"A hyperbolic, emotionally driven claim aimed at diminishing a team's historical stature."
"Ugh I hate when that happens, I bet the match thread is actually interesting though!",Low-Effort / Noise,"Tangential, off-topic comment about match threads rather than the game itself."
Own goal is hilarious lol.,Low-Effort / Noise,A brief reaction to a match event lacking analytical depth.
CPV Goal Keeper difinitely have used haki.,Low-Effort / Noise,A pop-culture reference used as a joke to praise a player.
Does 11 have an inner ear problem? Guy can't seem to stand up straight.,Partisan / Emotional,"A sarcastic, personal mockery of a player's physical performance driven by emotional frustration."
I told my bro Spain tied to Cape Verde. His reaction was “who?” Yeah well done to Cape Verde.,Low-Effort / Noise,A personal anecdote highlighting the surprising nature of the result without tactical analysis.
Hon Pico. Absolutely belted out the anthem and then flung himself about like prime Paul McGrath. What a man!,Low-Effort / Noise,"Focuses on the visceral, emotional energy of a player rather than tactical execution."
Masterful strategy and game management from Cap Verde. Manager deserves honours.,Substantive / Analytical,Evaluates the structural impact of managerial strategy and game management on the match outcome.
"Save for the last 30 seconds of the second half they didn't even have control of the ball, worse I don't even think the ball crossed midfield at all. That goalie of theirs played phenomenally though.",Substantive / Analytical,Uses specific match flow observations to contextualize a team's defensive and goalkeeping performance.
I think he was joking I know you cant comprehend a joke but its all good lmao.,Partisan / Emotional,"An aggressive, interpersonal attack on another user's comprehension."
The funny part is how an American would sincerely say they won 0-0. I can't see any other joke.,Partisan / Emotional,Employs cultural mockery and fan-war behavior to dismiss another perspective.
